"# includedInAnalysis='no' means this variable will be omitted in the analysis, 'yes' or leave blank means they enter the analysis."				
"# dataType={""categorical"",""continuous""}"				
"# drivenType={""knowledge"",""data"",""response"",""id""}, where 'id' type is not used for now but will be useful later for random effect or gee based method; response marked as response variable, can be more than 1. Later, algorithms with model file can take care of bivariate or multivariate response variables by specifying their names in the model files."				
"# comment: any comment put here, doesn't matter."				
colname	drivenType	dataType	includedInAnalysis	comment
PRCCS_secondary_value198	data	categorical	no	
PRCCS_secondary_value199	data	categorical	no	
PRCCS_secondary_value2	data	categorical	no	
PRCCS_secondary_value20	data	categorical	no	
PRCCS_secondary_value204	data	categorical	no	
PRCCS_secondary_value205	data	categorical	no	
PRCCS_secondary_value206	data	categorical	no	
PRCCS_secondary_value209	data	categorical	no	
PRCCS_secondary_value21	data	categorical	no	
PRCCS_secondary_value211	data	categorical	no	
PRCCS_secondary_value212	data	categorical	no	
PRCCS_secondary_value213	data	categorical	no	
PRCCS_secondary_value214	data	categorical	no	
PRCCS_secondary_value216	data	categorical	no	
PRCCS_secondary_value217	data	categorical	no	
PRCCS_secondary_value218	data	categorical	no	
PRCCS_secondary_value219	data	categorical	no	
PRCCS_secondary_value221	data	categorical	no	
PRCCS_secondary_value222	data	categorical	no	
PRCCS_secondary_value223	data	categorical	no	
PRCCS_secondary_value224	data	categorical	no	
PRCCS_secondary_value225	data	categorical	no	
PRCCS_secondary_value226	data	categorical	no	
PRCCS_secondary_value227	data	categorical	no	
PRCCS_secondary_value228	data	categorical	no	
PRCCS_secondary_value229	data	categorical	no	
PRCCS_secondary_value23	data	categorical	no	
PRCCS_secondary_value231	data	categorical	no	
PRCCS_secondary_value24	data	categorical	no	
PRCCS_secondary_value25	data	categorical	no	
PRCCS_secondary_value26	data	categorical	no	
PRCCS_secondary_value27	data	categorical	no	
PRCCS_secondary_value28	data	categorical	no	
PRCCS_secondary_value29	data	categorical	no	
PRCCS_secondary_value3	data	categorical	no	
PRCCS_secondary_value30	data	categorical	no	
PRCCS_secondary_value31	data	categorical	no	
PRCCS_secondary_value32	data	categorical	no	
PRCCS_secondary_value33	data	categorical	no	
PRCCS_secondary_value34	data	categorical	no	
PRCCS_secondary_value35	data	categorical	no	
PRCCS_secondary_value36	data	categorical	no	
PRCCS_secondary_value37	data	categorical	no	
PRCCS_secondary_value38	data	categorical	no	
PRCCS_secondary_value39	data	categorical	no	
PRCCS_secondary_value4	data	categorical	no	
PRCCS_secondary_value40	data	categorical	no	
PRCCS_secondary_value41	data	categorical	no	
PRCCS_secondary_value42	data	categorical	no	
PRCCS_secondary_value43	data	categorical	no	
PRCCS_secondary_value44	data	categorical	no	
PRCCS_secondary_value45	data	categorical	no	
PRCCS_secondary_value47	data	categorical	no	
PRCCS_secondary_value48	data	categorical	no	
PRCCS_secondary_value49	data	categorical	no	
PRCCS_secondary_value5	data	categorical	no	
PRCCS_secondary_value50	data	categorical	no	
PRCCS_secondary_value51	data	categorical	no	
PRCCS_secondary_value52	data	categorical	no	
PRCCS_secondary_value54	data	categorical	no	
PRCCS_secondary_value55	data	categorical	no	
PRCCS_secondary_value56	data	categorical	no	
PRCCS_secondary_value57	data	categorical	no	
PRCCS_secondary_value58	data	categorical	no	
PRCCS_secondary_value59	data	categorical	no	
PRCCS_secondary_value6	data	categorical	no	
PRCCS_secondary_value60	data	categorical	no	
PRCCS_secondary_value61	data	categorical	no	
PRCCS_secondary_value62	data	categorical	no	
PRCCS_secondary_value63	data	categorical	no	
PRCCS_secondary_value64	data	categorical	no	
PRCCS_secondary_value65	data	categorical	no	
PRCCS_secondary_value66	data	categorical	no	
PRCCS_secondary_value67	data	categorical	no	
PRCCS_secondary_value69	data	categorical	no	
PRCCS_secondary_value7	data	categorical	no	
PRCCS_secondary_value70	data	categorical	no	
PRCCS_secondary_value71	data	categorical	no	
PRCCS_secondary_value72	data	categorical	no	
PRCCS_secondary_value73	data	categorical	no	
PRCCS_secondary_value74	data	categorical	no	
PRCCS_secondary_value75	data	categorical	no	
PRCCS_secondary_value76	data	categorical	no	
PRCCS_secondary_value77	data	categorical	no	
PRCCS_secondary_value78	data	categorical	no	
PRCCS_secondary_value79	data	categorical	no	
PRCCS_secondary_value8	data	categorical	no	
PRCCS_secondary_value80	data	categorical	no	
PRCCS_secondary_value81	data	categorical	no	
PRCCS_secondary_value82	data	categorical	no	
PRCCS_secondary_value83	data	categorical	no	
PRCCS_secondary_value84	data	categorical	no	
PRCCS_secondary_value85	data	categorical	no	
PRCCS_secondary_value86	data	categorical	no	
PRCCS_secondary_value87	data	categorical	no	
PRCCS_secondary_value88	data	categorical	no	
PRCCS_secondary_value89	data	categorical	no	
PRCCS_secondary_value9	data	categorical	no	
PRCCS_secondary_value90	data	categorical	no	
PRCCS_secondary_value91	data	categorical	no	
PRCCS_secondary_value92	data	categorical	no	
PRCCS_secondary_value93	data	categorical	no	
PRCCS_secondary_value94	data	categorical	no	
PRCCS_secondary_value95	data	categorical	no	
PRCCS_secondary_value96	data	categorical	no	
PRCCS_secondary_value97	data	categorical	no	
PRCCS_secondary_value98	data	categorical	no	
PRCCS_secondary_value99	data	categorical	no	
DXCCnoS_secondary_value1	data	categorical	no	
DXCCnoS_secondary_value2	data	categorical	no	
DXCCnoS_secondary_value3	data	categorical	no	
DXCCnoS_secondary_value4	data	categorical	no	
DXCCnoS_secondary_value5	data	categorical	no	
DXCCnoS_secondary_value6	data	categorical	no	
DXCCnoS_secondary_value7	data	categorical	no	
DXCCnoS_secondary_value8	data	categorical	no	
DXCCnoS_secondary_value9	data	categorical	no	
DXCCnoS_secondary_value10	data	categorical	no	
DXCCnoS_secondary_value11	data	categorical	no	
DXCCnoS_secondary_value12	data	categorical	no	
DXCCnoS_secondary_value13	data	categorical	no	
DXCCnoS_secondary_value14	data	categorical	no	
DXCCnoS_secondary_value15	data	categorical	no	
DXCCnoS_secondary_value16	data	categorical	no	
DXCCnoS_secondary_value17	data	categorical	no	
DXCCnoS_secondary_value18	data	categorical	no	
DXCCnoS_secondary_value19	data	categorical	no	
DXCCnoS_secondary_value21	data	categorical	no	
DXCCnoS_secondary_value22	data	categorical	no	
DXCCnoS_secondary_value23	data	categorical	no	
DXCCnoS_secondary_value24	data	categorical	no	
DXCCnoS_secondary_value25	data	categorical	no	
DXCCnoS_secondary_value26	data	categorical	no	
DXCCnoS_secondary_value27	data	categorical	no	
DXCCnoS_secondary_value28	data	categorical	no	
DXCCnoS_secondary_value29	data	categorical	no	
DXCCnoS_secondary_value30	data	categorical	no	
DXCCnoS_secondary_value31	data	categorical	no	
DXCCnoS_secondary_value32	data	categorical	no	
DXCCnoS_secondary_value33	data	categorical	no	
DXCCnoS_secondary_value34	data	categorical	no	
DXCCnoS_secondary_value35	data	categorical	no	
DXCCnoS_secondary_value36	data	categorical	no	
DXCCnoS_secondary_value37	data	categorical	no	
DXCCnoS_secondary_value38	data	categorical	no	
DXCCnoS_secondary_value39	data	categorical	no	
DXCCnoS_secondary_value40	data	categorical	no	
DXCCnoS_secondary_value41	data	categorical	no	
DXCCnoS_secondary_value42	data	categorical	no	
DXCCnoS_secondary_value43	data	categorical	no	
DXCCnoS_secondary_value44	data	categorical	no	
DXCCnoS_secondary_value45	data	categorical	no	
DXCCnoS_secondary_value46	data	categorical	no	
DXCCnoS_secondary_value47	data	categorical	no	
DXCCnoS_secondary_value48	data	categorical	no	
DXCCnoS_secondary_value49	data	categorical	no	
DXCCnoS_secondary_value50	data	categorical	no	
DXCCnoS_secondary_value51	data	categorical	no	
DXCCnoS_secondary_value52	data	categorical	no	
DXCCnoS_secondary_value53	data	categorical	no	
DXCCnoS_secondary_value54	data	categorical	no	
DXCCnoS_secondary_value55	data	categorical	no	
DXCCnoS_secondary_value56	data	categorical	no	
DXCCnoS_secondary_value57	data	categorical	no	
DXCCnoS_secondary_value58	data	categorical	no	
DXCCnoS_secondary_value59	data	categorical	no	
DXCCnoS_secondary_value60	data	categorical	no	
DXCCnoS_secondary_value61	data	categorical	no	
DXCCnoS_secondary_value62	data	categorical	no	
DXCCnoS_secondary_value64	data	categorical	no	
DXCCnoS_secondary_value65	data	categorical	no	
DXCCnoS_secondary_value66	data	categorical	no	
DXCCnoS_secondary_value67	data	categorical	no	
DXCCnoS_secondary_value68	data	categorical	no	
DXCCnoS_secondary_value69	data	categorical	no	
DXCCnoS_secondary_value70	data	categorical	no	
DXCCnoS_secondary_value71	data	categorical	no	
DXCCnoS_secondary_value72	data	categorical	no	
DXCCnoS_secondary_value73	data	categorical	no	
DXCCnoS_secondary_value74	data	categorical	no	
DXCCnoS_secondary_value75	data	categorical	no	
DXCCnoS_secondary_value76	data	categorical	no	
DXCCnoS_secondary_value77	data	categorical	no	
DXCCnoS_secondary_value78	data	categorical	no	
DXCCnoS_secondary_value79	data	categorical	no	
DXCCnoS_secondary_value80	data	categorical	no	
DXCCnoS_secondary_value81	data	categorical	no	
DXCCnoS_secondary_value82	data	categorical	no	
DXCCnoS_secondary_value83	data	categorical	no	
DXCCnoS_secondary_value84	data	categorical	no	
DXCCnoS_secondary_value85	data	categorical	no	
DXCCnoS_secondary_value86	data	categorical	no	
DXCCnoS_secondary_value87	data	categorical	no	
DXCCnoS_secondary_value88	data	categorical	no	
DXCCnoS_secondary_value89	data	categorical	no	
DXCCnoS_secondary_value90	data	categorical	no	
DXCCnoS_secondary_value91	data	categorical	no	
DXCCnoS_secondary_value92	data	categorical	no	
DXCCnoS_secondary_value93	data	categorical	no	
DXCCnoS_secondary_value94	data	categorical	no	
DXCCnoS_secondary_value95	data	categorical	no	
DXCCnoS_secondary_value96	data	categorical	no	
DXCCnoS_secondary_value97	data	categorical	no	
DXCCnoS_secondary_value98	data	categorical	no	
DXCCnoS_secondary_value99	data	categorical	no	
DXCCnoS_secondary_value100	data	categorical	no	
DXCCnoS_secondary_value101	data	categorical	no	
DXCCnoS_secondary_value102	data	categorical	no	
DXCCnoS_secondary_value103	data	categorical	no	
DXCCnoS_secondary_value104	data	categorical	no	
DXCCnoS_secondary_value105	data	categorical	no	
DXCCnoS_secondary_value106	data	categorical	no	
DXCCnoS_secondary_value107	data	categorical	no	
DXCCnoS_secondary_value108	data	categorical	no	
DXCCnoS_secondary_value109	data	categorical	no	
DXCCnoS_secondary_value110	data	categorical	no	
DXCCnoS_secondary_value111	data	categorical	no	
DXCCnoS_secondary_value112	data	categorical	no	
DXCCnoS_secondary_value113	data	categorical	no	
DXCCnoS_secondary_value114	data	categorical	no	
DXCCnoS_secondary_value115	data	categorical	no	
DXCCnoS_secondary_value116	data	categorical	no	
DXCCnoS_secondary_value117	data	categorical	no	
DXCCnoS_secondary_value118	data	categorical	no	
DXCCnoS_secondary_value119	data	categorical	no	
DXCCnoS_secondary_value120	data	categorical	no	
DXCCnoS_secondary_value121	data	categorical	no	
DXCCnoS_secondary_value122	data	categorical	no	
DXCCnoS_secondary_value123	data	categorical	no	
DXCCnoS_secondary_value124	data	categorical	no	
DXCCnoS_secondary_value125	data	categorical	no	
DXCCnoS_secondary_value126	data	categorical	no	
DXCCnoS_secondary_value127	data	categorical	no	
DXCCnoS_secondary_value128	data	categorical	no	
DXCCnoS_secondary_value130	data	categorical	no	
DXCCnoS_secondary_value131	data	categorical	no	
DXCCnoS_secondary_value132	data	categorical	no	
DXCCnoS_secondary_value133	data	categorical	no	
DXCCnoS_secondary_value134	data	categorical	no	
DXCCnoS_secondary_value135	data	categorical	no	
DXCCnoS_secondary_value136	data	categorical	no	
DXCCnoS_secondary_value138	data	categorical	no	
DXCCnoS_secondary_value139	data	categorical	no	
DXCCnoS_secondary_value140	data	categorical	no	
DXCCnoS_secondary_value143	data	categorical	no	
DXCCnoS_secondary_value144	data	categorical	no	
DXCCnoS_secondary_value145	data	categorical	no	
DXCCnoS_secondary_value146	data	categorical	no	
DXCCnoS_secondary_value147	data	categorical	no	
DXCCnoS_secondary_value148	data	categorical	no	
DXCCnoS_secondary_value149	data	categorical	no	
DXCCnoS_secondary_value150	data	categorical	no	
DXCCnoS_secondary_value151	data	categorical	no	
DXCCnoS_secondary_value152	data	categorical	no	
DXCCnoS_secondary_value153	data	categorical	no	
DXCCnoS_secondary_value154	data	categorical	no	
DXCCnoS_secondary_value155	data	categorical	no	
DXCCnoS_secondary_value156	data	categorical	no	
DXCCnoS_secondary_value157	data	categorical	no	
DXCCnoS_secondary_value158	data	categorical	no	
DXCCnoS_secondary_value159	data	categorical	no	
DXCCnoS_secondary_value160	data	categorical	no	
DXCCnoS_secondary_value161	data	categorical	no	
DXCCnoS_secondary_value162	data	categorical	no	
DXCCnoS_secondary_value163	data	categorical	no	
DXCCnoS_secondary_value164	data	categorical	no	
DXCCnoS_secondary_value165	data	categorical	no	
DXCCnoS_secondary_value166	data	categorical	no	
DXCCnoS_secondary_value167	data	categorical	no	
DXCCnoS_secondary_value170	data	categorical	no	
DXCCnoS_secondary_value174	data	categorical	no	
DXCCnoS_secondary_value175	data	categorical	no	
DXCCnoS_secondary_value176	data	categorical	no	
DXCCnoS_secondary_value177	data	categorical	no	
DXCCnoS_secondary_value179	data	categorical	no	
DXCCnoS_secondary_value180	data	categorical	no	
DXCCnoS_secondary_value181	data	categorical	no	
DXCCnoS_secondary_value183	data	categorical	no	
DXCCnoS_secondary_value184	data	categorical	no	
